movieId,title,genres,year
182337,Cinétracts,(no genres listed),1968
195495,Familia,Drama,2005
3078,Liberty Heights,Drama,1999
134704,Comedy Central Roast of Charlie Sheen,Comedy,2011
219976,47 Hours to Live,Horror|Thriller,2019
205715,Reis,(no genres listed),2017
169206,Through the Air,Drama,2015
211986,A Raunchy Christmas Story,Comedy,2018
171387,Çalgı Çengi,Comedy,2011
31930,Masculin Féminin,Drama,1966
198189,Viper Club,Drama|Thriller,2018
183321,The Song of Lunch,Drama,2010
73449,"V.I.P.s, The",Drama,1963
80214,"Swan and the Wanderer, The (Kulkuri ja joutsen)",Drama,1999
128265,The Stranger Wore a Gun,Action|Western,1953
27087,The Sinners of Hell,Drama|Horror,1960
136102,Costa Azzurra,(no genres listed),1959
192043,Red Cow,Drama,2018
8699,Dancing in September,Drama,2000
69964,"Giant of Marathon, The (Battaglia di Maratona, La)",Action|Drama|War,1959
6326,City of Ghosts,Crime|Drama|Thriller,2002
279808,The Grab,Documentary,2022
133547,El bosque de Karadima,Drama,2015
185653,WWE: The Top 25 Rivalries in Wrestling History,(no genres listed),2013
132309,Without a Trace,Drama|Mystery,1983
41,Richard III,Drama|War,1995
75395,Frozen,Drama|Horror|Thriller,2010
236141,American Skin,Drama,2021
182323,Mum's Guest (Mehman-e Maman),(no genres listed),2004
196889,Glass,Drama|Horror|Mystery|Sci-Fi|Thriller,2019
255581,Rent,Drama,2019
164183,Terminal Invasion,Horror|Sci-Fi|Thriller,2002
259741,Rememberer,(no genres listed),2017
6244,Salaam Bombay!,Drama,1988
142801,Alice in Earnestland,(no genres listed),2015
112332,Caprice,Comedy|Crime|Thriller,1967
157387,Paradox,Action|Sci-Fi,2016
31923,"Three Musketeers, The",Action|Adventure|Comedy,1973
284601,Uman – The Perfect Man,Comedy,2022
27746,Ginger Snaps: Unleashed,Horror|Thriller,2004
126044,Brutal Relax,Action|Comedy,2010
108313,Dirty Pictures,Drama,2000
74857,Strategic Air Command,Action|Drama,1955
210481,When the Greeks,Adventure|Drama|War,1981
230547,Easter Under Wraps,Romance,2019
168816,Different Drummers,Children|Drama,2013
258573,Woodlands Dark and Days Bewitched: A History of Folk Horror,Documentary,2021
270746,The Privilege,Horror,2022
227086,Eva,Drama,1948
140765,Carl Panzram: The Spirit of Hatred and Revenge,(no genres listed),2012
85278,"City of Your Final Destination, The",Drama,2009
123900,Safari 3000,Action,1982
73664,Dragon Hunters (Chasseurs de dragons),Adventure|Animation|Children,2008
