tag,avg_rating,num_ratings
Rewatch,5,29
FAVORITE,4.96969696969697,33
delights,4.966666666666667,30
Favorite,4.909090909090909,44
5 stars,4.863636363636363,22
best movie ever,4.84375,32
Masterpiece ,4.8076923076923075,39
favorite,4.792134831460674,89
space physics,4.738095238095238,21
wonderful,4.738095238095238,21
perfect,4.7272727272727275,22
excellent,4.708333333333333,24
amazing dialogues,4.695652173913044,23
Masterpiece,4.694444444444445,54
quentin tarantino,4.693548387096774,62
Writer: J.R.R. Tolkien,4.6923076923076925,26
emotional comfort,4.6875,32
special,4.680555555555555,36
Favorites,4.676470588235294,34
Do kupienia,4.672413793103448,29
Excellent acting,4.659090909090909,22
author:Jane Austen,4.65,30
Visual effect,4.648148148148148,27
life changing,4.645161290322581,31
humane,4.642857142857143,21
superb soundtrack,4.642857142857143,21
amazing,4.636363636363637,33
great screenplay,4.627777777777778,90
Very interesting,4.625,32
eye-opening,4.625,20
brilliant,4.621951219512195,82
Owned,4.621621621621622,74
great writing,4.621621621621622,148
Vangelis,4.614285714285714,35
connection,4.6,20
EPIC,4.598214285714286,56
lovable,4.595238095238095,21
Great dialogue,4.588888888888889,45
masterpiece,4.587047353760446,718
Manipulations,4.585714285714285,35
great quotes,4.583333333333333,30
pychological,4.583333333333333,42
ahead of its time,4.578125,32
interesting ideea,4.578125,64
game theory,4.576086956521739,46
brain teaser,4.575,20
must see,4.569852941176471,136
Breathtaking,4.568181818181818,22
oscar (best original screenplay),4.568181818181818,22
need to own,4.567708333333333,96
need to buy,4.564516129032258,31
amazing storytelling,4.5625,64
awesome,4.5625,112
well-paced,4.559322033898305,59
intricate,4.5588235294117645,51
toshiro mifune,4.55,20
great direction,4.548780487804878,41
buy,4.546875,32
Bo Burnham,4.543478260869565,23
Excellent use of dialogue,4.543103448275862,58
rewatch worthy,4.541237113402062,97
good science,4.539408866995074,203
sounds,4.53921568627451,51
ending rocks,4.538461538461538,26
deep,4.537037037037037,27
romantic but not cheesy,4.534883720930233,43
breathtaking,4.532608695652174,46
amazing artwork,4.531914893617022,47
Great dialogues,4.529411764705882,34
mindblowing,4.527272727272727,55
ennio morricone,4.521739130434782,23
Joe Hisaishi,4.518518518518518,27
very good,4.517241379310345,58
non-conventional love stroy,4.515625,32
absorbing,4.514925373134329,67
genuinely scary,4.5131578947368425,38
societal criticism,4.508064516129032,62
Cerebral Sci-Fi,4.506172839506172,81
powerful ending,4.5038363171355495,782
Christoper Nolan,4.5,25
David Attenborough,4.5,24
No traditional villain,4.5,26
Own,4.5,22
depth of emotion,4.5,23
questions reality,4.5,45
watch again,4.5,24
amazing soundtrack,4.493421052631579,76
sense of awe,4.492647058823529,68
Damien Chazelle,4.487179487179487,39
Andrei Tarkovsky,4.480263157894737,76
aesthetically pleasing,4.48,25
great cinematograhy,4.479166666666667,24
touching story,4.476744186046512,43
nuanced,4.475609756097561,41
sci-fi classic,4.475609756097561,41
Soundtrack: Hans Zimmer,4.475,20
favorites,4.475,20
good dialogs,4.475,20
non-stop,4.474025974025974,77
Intelligent scifi,4.470588235294118,34
motivation,4.47,50
Mind Bending,4.467391304347826,46
Great movie,4.466666666666667,30
makes you think,4.466666666666667,90
Asghar Farhadi,4.4655172413793105,29
relativity,4.463414634146342,164
joseph campbell's study of mythology influenced,4.4605263157894735,38
Personality change,4.46,25
transformative performance,4.46,25
well written,4.45925925925926,135
great,4.458333333333333,24
good plot twists,4.456521739130435,23
indie music,4.456521739130435,23
Brad Bird,4.454545454545454,22
animated masterpiece,4.454545454545454,22
excellent script,4.452933151432469,733
relatable,4.4523809523809526,21
very clever,4.4523809523809526,21
epic adventure,4.450854700854701,234
good dialogue,4.450769230769231,650
Sci-fi ,4.45,20
sophisticated,4.45,20
emotionally captivating,4.448979591836735,49
great sountrack,4.448979591836735,98
stanley kubrick,4.447916666666667,48
compelling,4.447368421052632,38
Mindfuck,4.4447852760736195,163
morgan freeman,4.443548387096774,62
shocking ending,4.443181818181818,44
Kurosawa,4.4423076923076925,52
blue,4.441860465116279,43
almost favorite,4.4411764705882355,34
(s)vcd,4.4393939393939394,33
great story,4.437799043062201,209
anti-capitalism,4.4375,24
Intelligent Sc-Fi,4.4363636363636365,55
wisdom,4.435897435897436,39
Amazing Cinematography,4.433510638297872,188
Carpe Diem,4.433333333333334,30
Chuck Palahniuk,4.433333333333334,30
ambiguous character alignments,4.433333333333334,30
the twists in the plot,4.431818181818182,22
makes good points,4.430232558139535,43
Francis Ford Coppola,4.429906542056075,107
DeLorean,4.428571428571429,21
form and content,4.428571428571429,21
heroic journey,4.428571428571429,21
beautiful colors,4.426666666666667,75
Bong Joon-Ho,4.425925925925926,54
dvd-r,4.425925925925926,27
Age of sail,4.425,20
Movies,4.425,40
Oscar Nominee: Sound Mixing,4.425,20
want it,4.423076923076923,39
intelligent,4.422546857772877,1814
thoughtful sci-fi,4.422185430463577,302
door to the different world,4.421875,32
complex characters,4.421800947867299,422
philosophical issues,4.421717171717172,198
energizing,4.419354838709677,31
philosophy,4.418856259659969,1941
excellent dialogue,4.418181818181818,55
Quotable,4.418032786885246,122
great dialogue,4.41713747645951,531
Great performances,4.416666666666667,48
Alfonso Cuarón,4.414285714285715,35
H. R. Giger,4.414285714285715,35
captivating,4.412280701754386,57
meaningful,4.411111111111111,45
Satoshi Kon,4.409836065573771,61
Madeline Kahn,4.409090909090909,22
Philip Glass,4.409090909090909,33
accurate,4.409090909090909,22
alternate universes,4.409090909090909,22
experience,4.409090909090909,22
better than the american version,4.407894736842105,38
iconic,4.40625,64
Intense,4.404761904761905,84
breakthroughs,4.404761904761905,42
Inspirational,4.403846153846154,26
CAV,4.403225806451613,31
George Carlin,4.403225806451613,31
epic battles,4.402777777777778,36
Best War Films,4.401785714285714,56
Hayao Miyazaki,4.400769230769231,650
intertwining storylines,4.4,25
sociology,4.4,30
multiple interpretations,4.398305084745763,118
Social classes,4.3979591836734695,49
dreamy,4.397435897435898,39
aesthetic science fiction,4.396551724137931,29
smart writing,4.396551724137931,58
ambitious,4.395348837209302,86
great characters,4.3938356164383565,146
deep meaning,4.3936170212765955,47
atmospherically beautiful,4.392857142857143,28
great ending,4.3908851884312,1141
snappy dialog,4.390625,32
Black comedy,4.3884297520661155,121
made me cry,4.387096774193548,31
intelligent sci-fi,4.386792452830188,106
Guns,4.386363636363637,22
directing,4.385714285714286,35
whacked,4.384615384615385,26
Retro 80's Synth Pop,4.383333333333334,30
great script,4.381818181818182,55
shenanigans,4.38,25
very funny,4.38,100
Great Screenplays,4.37962962962963,54
smart,4.379556259904913,631
insightful,4.378787878787879,66
inspirational,4.378427787934187,2188
thought-provoking,4.377865206979131,5846
Jean-Pierre Jeunet,4.377777777777778,45
tolkien,4.377358490566038,53
inspiring,4.3759765625,512
Michael Madsen,4.375,20
Oscar Nominee: Production Design,4.375,20
hero's journey,4.375,80
stunning,4.375,52
fascinating,4.371794871794871,39
Michel Gondry,4.371428571428571,70
tricky,4.370967741935484,31
cultural references,4.370689655172414,58
philosophical,4.37065269175798,2099
emotion!,4.37037037037037,27
gorgeous animation,4.3701923076923075,104
Sergio Leone,4.37,150
1980's cult,4.369565217391305,23
spiritual awakening,4.369565217391305,23
meticulous,4.366071428571429,56
social control,4.365384615384615,26
Charlie Kaufman,4.363813229571984,257
great acting,4.363706207744315,3254
Meta Referential,4.363636363636363,22
strong femal lead,4.362068965517241,29
turing test,4.359550561797753,89
surprising ending,4.359375,32
BOUNTY HUNTERS,4.358695652173913,46
Christopher Nolan,4.357219251336899,935
Andre the Giant,4.357142857142857,21
Happy end,4.357142857142857,21
ari aster,4.357142857142857,35
greatness,4.357142857142857,21
good writing,4.355769230769231,52
robert de niro,4.355421686746988,83
Paolo Sorrentino,4.354166666666667,24
Surrealism,4.354166666666667,48
buddhist,4.354166666666667,24
relaxing,4.354166666666667,24
Nicola Tesla,4.351351351351352,37
entirely dialogue,4.35,60
meg ryan,4.35,20
psychothriller,4.35,330
want,4.349462365591398,93
well constructed,4.349206349206349,63
Memorable Characters,4.3478260869565215,46
always watch it when it's on tv,4.3478260869565215,23
"believable, spontaneous acting",4.3478260869565215,23
comraderie,4.3478260869565215,23
psychology and the nature of reality,4.3478260869565215,23
technically impressive,4.3478260869565215,23
metafilm,4.347222222222222,36
unusual story,4.346938775510204,49
character depth,4.346153846153846,39
linguistics,4.345323741007194,139
intellectual,4.345015576323988,642
Humour,4.344827586206897,29
complicated,4.344723618090452,995
Ingmar Bergman,4.34433962264151,106
immersive,4.34393063583815,173
awesome soundtrack,4.34375,112
informatics,4.34375,48
unpredictable,4.342985842985843,777
Dead Nazis,4.342105263157895,38
Federico Fellini,4.342105263157895,38
complex relationships,4.341121495327103,107
integrity,4.340909090909091,22
quotable dialogue,4.340909090909091,22
smart action,4.340909090909091,66
beautifully filmed,4.340055632823366,719
Enigmatic,4.34,50
quietly beautiful,4.34,25
thought provoking,4.339560439560439,455
notable soundtrack,4.3386004514672685,443
Oscar (Best Animated Feature),4.338383838383838,99
Firefly,4.338028169014085,71
psychedellic,4.337837837837838,37
Human Computer Interaction,4.337209302325581,43
Spaghetti Western,4.337209302325581,43
Taika Waititi,4.3359375,128
mind bending,4.3348837209302324,215
Highly quotable,4.3342857142857145,350
Diverse characters,4.333333333333333,21
bast background universe,4.333333333333333,21
dark movie,4.333333333333333,27
jake gyllenhaal,4.333333333333333,24
personal growth,4.333333333333333,39
villain nonexistent or not needed for good story,4.333333333333333,30
colourful sets,4.330357142857143,56
tension building,4.329896907216495,97
great performances,4.329853862212944,479
lord of the rings,4.329787234042553,47
Hans Zimmer,4.328467153284672,411
great aliens,4.328125,32
Beautifully shot,4.327586206896552,29
multiple languages,4.326923076923077,26
realistic action,4.32618025751073,233
Tearjerker,4.326086956521739,23
edward norton,4.326086956521739,46
on race,4.325,40
Underrated,4.324742268041237,97
Hilarious,4.324175824175824,91
Psychopathy,4.323717948717949,156
genetic selection,4.323529411764706,34
Marlon Brando,4.323170731707317,164
complex,4.3230519480519485,308
Happy ending,4.32258064516129,31
beautiful visuals,4.322033898305085,177
Greta Gerwig,4.321428571428571,42
great plot,4.320987654320987,81
Grace Kelly,4.3203125,64
human potential,4.3203125,64
toplist07,4.32,25
Edgar Wright,4.319727891156463,147
smart comedy,4.319148936170213,47
Studio Ghibli,4.318848758465012,886
Scams,4.318181818181818,22
anti-authoritarian,4.318181818181818,66
imaginative,4.318181818181818,440
Miyazaki,4.317708333333333,96
Stasi,4.317073170731708,41
anti-corporation,4.316666666666666,30
colors,4.316326530612245,49
The fall of the Berlin wall,4.314814814814815,27
epic,4.3144796380090495,1326
Emotional,4.314285714285714,35
great soundtrack,4.312782354504384,3763
Yorgos Lanthimos,4.3125,40
edgar wright,4.3125,24
excellent cinematography,4.3125,64
scientific,4.3125,120
time-travel,4.312101910828026,157
conversation,4.311475409836065,122
classic,4.310414201183432,4225
Funniest Movies,4.310344827586207,58
Honest,4.310344827586207,29
edgy,4.310344827586207,29
chilling,4.309523809523809,21
david bowie,4.309523809523809,21
touching,4.308291770573566,1604
Computers,4.308219178082192,73
Martin McDonagh,4.3076923076923075,26
Wong Kar Wai,4.305555555555555,36
subtle humor,4.304878048780488,41
Terrence Malick,4.303921568627451,51
Intense ,4.303571428571429,140
space habitat,4.303571428571429,28
excellent acting,4.303191489361702,188
criminal mind,4.302631578947368,38
Gene Wilder,4.30188679245283,106
beautiful,4.3015288788221975,1766
80's high fantasy,4.3,20
spiritual,4.3,85
intense,4.299267643142477,1502
Epic,4.29874213836478,159
original horror,4.298507462686567,67
thoughtful,4.298319327731092,238
dreamlike,4.296463506395786,2658
beautiful music,4.296296296296297,54
Colourful apocalypse,4.295918367346939,49
unpredictable ending,4.295774647887324,142
Francis Ford Copolla,4.295454545454546,22
class struggle,4.295454545454546,66
good story,4.295180722891566,166
clever,4.294692737430168,1432
Continuous shot,4.294117647058823,34
edward snowden,4.294117647058823,34
frances mcdormand,4.294117647058823,34
class themes,4.293706293706293,143
relevant,4.293103448275862,29
uplifting,4.291958041958042,286
original plot,4.291717417783191,821
childhood classic,4.291666666666667,24
cool,4.291666666666667,84
delightful,4.291666666666667,24
twists & turns,4.291291291291292,999
underrated,4.290441176470588,272
authenticity,4.290322580645161,31
unusual plot structure,4.290322580645161,62
existential,4.290178571428571,336
mike judge,4.29,50
powersuit,4.288461538461538,26
postmodern,4.288235294117647,85
SPACE TRAVEL,4.287234042553192,47
East Germany,4.286290322580645,124
Deep,4.285714285714286,56
Film Noir,4.285714285714286,133
emotional,4.285292782569224,2203
good plot,4.283783783783784,74
psychology,4.283498492029298,4642
great special effects,4.283333333333333,30
keeps you guessing,4.283333333333333,30
Bittersweet,4.283132530120482,83
butterfly effect,4.282178217821782,101
nonlinear,4.2819548872180455,1995
Heartwarming,4.281818181818182,110
imdb top 250,4.281464530892449,1748
very quotable,4.28125,32
mindfuck,4.280821917808219,3212
amazing photography,4.280555555555556,180
Stanley Kubrick,4.280259365994237,694
The South,4.28,25
awesome martial arts,4.28,25
Unexpected Ending,4.279411764705882,34
Complex story,4.277777777777778,27
Darkly Funny,4.277777777777778,27
Milos Forman,4.277777777777778,27
touch of magic,4.277777777777778,27
Beautiful,4.276041666666667,96
fighting choreografy,4.275862068965517,29
suspensful,4.275862068965517,29
Visually Striking,4.275700934579439,214
social satire,4.275210084033613,238
Carl Sagan,4.275,40
Moritz Bleibtreu,4.275,20
all-male cast,4.275,40
original idea,4.275,40
space epic,4.275,80
want to own,4.275,40
Vietnam war,4.2745098039215685,51
revolutionary,4.274390243902439,82
Denis Villeneuve,4.273584905660377,159
Celtic,4.2727272727272725,22
powerful,4.272151898734177,79
clever script,4.272020725388601,193
Tense,4.271929824561403,114
Sven's to see list,4.270833333333333,24
surrealist humor,4.270833333333333,24
genius,4.270290964777948,653
aesthetic,4.27,50
reverse timeline,4.27,50
imagination,4.26978417266187,695
odd sense of humor,4.269662921348314,89
action spoof,4.268518518518518,54
Tolkien,4.268,250
cultural authenticity,4.267857142857143,28
coen brothers,4.267441860465116,129
innocence lost,4.266666666666667,30
existentialism,4.26656314699793,966
Oscar (Best Writing - Screenplay Written Directly for the Screen),4.264705882352941,51
intelligent thriller,4.264705882352941,102
high fantasy,4.264240506329114,316
Lee Van Cleef,4.263888888888889,36
complex morality,4.263636363636364,55
thrilling,4.263020833333333,192
